Funcao;Orgao;Subfuncao;"Valor Empenhado";"Valor Liquidado";"Valor Pago"
"DESPORTO E LAZER";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"DESPORTO COMUNITARIO";31.025.742,52;23.442.929,10;20.824.290,62
"DESPORTO E LAZER";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";LAZER;1.612.895,10;1.612.895,10;1.612.895,10
"ENCARGOS ESPECIAIS";"FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";20.781.162,25;20.623.591,87;20.500.824,80
"ENCARGOS ESPECIAIS";"FUNDACAO EDUCACIONAL CAIO MARTINS";"OUTROS ENCARGOS ESPECIAIS";1.047.676,82;1.047.676,82;916.276,97
"SEGURANCA PUBLICA";"GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS";"INFORMACAO E INTELIGENCIA";3.232.949,96;3.129.071,37;3.004.474,38
"GESTAO AMBIENTAL";"SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL";"CONTROLE AMBIENTAL";80.687.165,02;79.525.825,61;78.139.285,17
SAUDE;"POLICIA MILITAR DO ESTADO DE MINAS GERAIS";"ASSISTENCIA HOSPITALAR E AMBULATORIAL";275.151.559,16;254.636.263,51;250.632.048,76
SAUDE;"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"ASSISTENCIA HOSPITALAR E AMBULATORIAL";20.955.727,95;20.510.349,41;20.261.141,97
"ESSENCIAL A JUSTICA";"PROCURADORIA GERAL DE JUSTICA";"ADMINISTRACAO GERAL";1.083.866.603,22;1.005.435.670,72;993.144.461,11
"ESSENCIAL A JUSTICA";"FUNDO ESPECIAL DO MINISTERIO PUBLICO DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";22.753.817,22;15.338.453,03;15.108.205,99
ADMINISTRACAO;"EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS";"ADMINISTRACAO GERAL";21.441.257,07;21.441.257,07;21.441.257,07
ADMINISTRACAO;"SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL";"ADMINISTRACAO GERAL";54.534.773,15;50.461.916,84;49.581.019,64
ADMINISTRACAO;"SECRETARIA DE ESTADO DE FAZENDA";"ADMINISTRACAO GERAL";79.683.331,04;78.951.692,19;78.483.172,13
ADMINISTRACAO;"LOTERIA DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";934.610,62;850.096,91;845.148,03
ADMINISTRACAO;"AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DO VALE DO ACO";"ADMINISTRACAO GERAL";910.478,77;910.478,77;910.364,05
ADMINISTRACAO;"EMPRESA MINEIRA DE COMUNICACAO";"ADMINISTRACAO GERAL";3.217.443,83;3.217.443,83;3.217.443,83
LEGISLATIVA;"INSTITUTO DE PREVIDENCIA DO LEGISLATIVO DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";3.585.634,33;3.585.634,33;3.585.634,33
"SEGURANCA PUBLICA";"POLICIA MILITAR DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";203.240.452,68;201.937.117,46;200.675.589,95
"ASSISTENCIA SOCIAL";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"ASSISTENCIA COMUNITARIA";42.233.118,22;40.364.060,37;39.026.794,23
AGRICULTURA;"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO - SEAPA";ABASTECIMENTO;1.130.099,90;812.500,71;751.217,13
JUDICIARIA;"FUNDO ESPECIAL DO PODER JUDICIARIO DO ESTADO DE MINAS GERAIS";"FORMACAO DE RECURSOS HUMANOS";1.815.736,40;1.306.787,83;1.234.279,41
ADMINISTRACAO;"OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS";"FORMACAO DE RECURSOS HUMANOS";198.825,13;198.825,13;198.825,13
