Funcao;Orgao;Subfuncao;Valor Empenhado;Valor Liquidado;Valor Pago
DESPORTO E LAZER;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;DESPORTO COMUNITARIO;25.085.401,00;21.788.059,74;14.433.987,98
DESPORTO E LAZER;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;LAZER;1.539.408,01;1.539.408,01;1.539.408,01
ENCARGOS ESPECIAIS;FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS;OUTROS ENCARGOS ESPECIAIS;23.670.972,47;23.580.211,71;23.345.363,18
ENCARGOS ESPECIAIS;FUNDACAO EDUCACIONAL CAIO MARTINS;OUTROS ENCARGOS ESPECIAIS;18.951,48;18.951,48;14.834,20
SEGURANCA PUBLICA;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;INFORMACAO E INTELIGENCIA;3.864.579,20;3.669.371,35;3.775.536,22
GESTAO AMBIENTAL;SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL;CONTROLE AMBIENTAL;73.428.846,19;72.250.878,92;72.204.523,03
SAUDE;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;ASSISTENCIA HOSPITALAR E AMBULATORIAL;310.496.358,88;279.431.384,69;270.065.177,89
SAUDE;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;ASSISTENCIA HOSPITALAR E AMBULATORIAL;25.810.692,85;25.585.162,23;25.534.930,33
ESSENCIAL A JUSTICA;PROCURADORIA GERAL DE JUSTICA;ADMINISTRACAO GERAL;1.184.888.439,89;1.121.421.100,17;1.103.754.213,75
ESSENCIAL A JUSTICA;FUNDO ESPECIAL DO MINISTERIO PUBLICO DO ESTADO DE MINAS GERAIS;ADMINISTRACAO GERAL;24.443.811,21;13.265.445,69;13.119.045,05
ADMINISTRACAO;EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS;ADMINISTRACAO GERAL;21.785.286,14;21.785.286,14;21.785.286,14
ADMINISTRACAO;SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL;ADMINISTRACAO GERAL;61.703.287,35;60.209.625,78;59.142.315,93
ADMINISTRACAO;FUNDACAO EDUCACIONAL CAIO MARTINS;ADMINISTRACAO GERAL;5.554.941,74;5.493.627,12;5.462.558,03
ADMINISTRACAO;SECRETARIA DE ESTADO DE FAZENDA;ADMINISTRACAO GERAL;101.773.804,66;99.270.824,30;99.071.000,38
ADMINISTRACAO;LOTERIA DO ESTADO DE MINAS GERAIS;ADMINISTRACAO GERAL;984.454,55;977.453,32;977.446,45
ADMINISTRACAO;AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DO VALE DO ACO;ADMINISTRACAO GERAL;1.124.288,29;1.111.288,29;1.111.697,57
ADMINISTRACAO;EMPRESA MINEIRA DE COMUNICACAO;ADMINISTRACAO GERAL;3.685.614,55;3.685.614,55;3.685.614,55
LEGISLATIVA;INSTITUTO DE PREVIDENCIA DO LEGISLATIVO DO ESTADO DE MINAS GERAIS;ADMINISTRACAO GERAL;2.733.859,01;2.733.859,01;2.733.859,01
SEGURANCA PUBLICA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;ADMINISTRACAO GERAL;239.777.619,74;238.612.333,74;237.677.132,06
ASSISTENCIA SOCIAL;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;ASSISTENCIA COMUNITARIA;9.880.710,64;9.880.710,64;9.579.373,69
AGRICULTURA;INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS;RECURSOS HIDRICOS;4.647.858,49;3.900.350,42;3.784.344,35
AGRICULTURA;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO - SEAPA;ABASTECIMENTO;987.388,25;848.807,45;848.807,45
JUDICIARIA;FUNDO ESPECIAL DO PODER JUDICIARIO DO ESTADO DE MINAS GERAIS;FORMACAO DE RECURSOS HUMANOS;2.572.846,56;2.138.683,91;2.103.389,04
ADMINISTRACAO;EGE-SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;PREVIDENCIA ESPECIAL;201.288.736,28;201.288.736,28;201.288.736,28
GESTAO AMBIENTAL;FUNDACAO ESTADUAL DO MEIO AMBIENTE;PRESERVACAO E CONSERVACAO AMBIENTAL;11.833.171,16;11.597.609,98;11.406.423,92
URBANISMO;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;SERVICOS URBANOS;291.057,13;291.057,13;291.513,43
